SalesOrderId,new_revenue,legacy_revenue,revenue_diff,new_amount2,new_gp,legacy_gp,gp_diff,new_term_gp,legacy_term_gp,term_gp_diff,abs_revenue_diff,abs_gp_diff,abs_term_gp_diff
10712404,2336.29,,2336.29,1869.03,467.26,,467.26,0.0,,0.0,2336.29,467.26,0.0
10712957,4320.0,4320.0,0.0,2246.4,1641.6,1641.6,0.0,1209.6,1209.6,0.0,0.0,0.0,0.0
10713259,1869.0,374.0,1495.0,897.0,785.0,187.0,598.0,0.0,0.0,0.0,1495.0,598.0,0.0
10713576,4275.0,4275.0,0.0,3633.75,641.25,641.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10713708,12292.02,12292.02,0.0,8044.2,4247.82,4247.82,0.0,4247.82,4247.82,0.0,0.0,0.0,0.0
10714059,26338.88,4176.0,22162.88,13300.14,10950.74,2088.0,8862.74,0.0,0.0,0.0,22162.88,8862.74,0.0
10714927,1376.0,1376.0,0.0,1169.6,206.4,206.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10715229,1796.0,1796.0,0.0,1167.4,628.6,628.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10715231,870.0,870.0,0.0,,870.0,870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10715663,4532.0,4532.0,0.0,3852.2,679.8,679.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10715665,306.0,306.0,0.0,272.8,33.2,33.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10715880,1058.0,1058.0,0.0,507.6,444.4,444.4,0.0,7.58,7.58,0.0,0.0,0.0,0.0
10716314,12000.0,12000.0,0.0,,12000.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10716684,8788.54,374.0,8414.54,5051.96,3549.58,187.0,3362.58,0.0,0.0,0.0,8414.54,3362.58,0.0
10717086,2944.5,590.0,2354.5,1448.44,1201.06,295.0,906.06,0.0,0.0,0.0,2354.5,906.06,0.0
10717471,3640.02,,3640.02,2912.02,728.0,,728.0,0.0,,0.0,3640.02,728.0,0.0
10717752,8013.0,499.0,7514.0,4508.0,3255.5,249.5,3006.0,0.0,0.0,0.0,7514.0,3006.0,0.0
10717769,13681.33,13681.33,0.0,8889.37,4791.96,4791.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10718003,1058.0,1058.0,0.0,507.6,444.4,444.4,0.0,7.58,7.58,0.0,0.0,0.0,0.0
10718005,7644.0,7644.0,0.0,3669.6,3210.4,3210.4,0.0,54.8,54.8,0.0,0.0,0.0,0.0
10718520,1056.0,1056.0,0.0,,1056.0,1056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10718639,912.0,912.0,0.0,775.2,136.8,136.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10721011,4506.0,901.0,3605.0,2163.0,1892.5,450.5,1442.0,0.0,0.0,0.0,3605.0,1442.0,0.0
10721228,6219.0,6219.0,0.0,3778.36,2238.14,2238.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10721464,1533.08,306.0,1227.08,769.37,610.71,153.0,457.71,0.0,0.0,0.0,1227.08,457.71,0.0
10721932,2820.0,2820.0,0.0,2397.0,423.0,423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10722334,2341.0,2341.0,0.0,1989.85,351.15,351.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10722566,14738.0,14738.0,0.0,9914.77,4823.23,4823.23,0.0,4823.23,4823.23,0.0,0.0,0.0,0.0
10722932,4117.63,858.0,3259.63,1955.78,1732.85,429.0,1303.85,0.0,0.0,0.0,3259.63,1303.85,0.0
10722936,307.0,307.0,0.0,62.41,244.59,244.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10723938,7304.0,7304.0,0.0,4629.46,2674.54,2674.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10724202,4447.32,4447.32,0.0,3729.91,717.41,717.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10724219,3426.0,3426.0,0.0,2792.7,633.3,633.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10724353,63569.43,12707.0,50862.43,30516.69,26699.24,6353.5,20345.74,0.0,0.0,0.0,50862.43,20345.74,0.0
10726259,2396.0,2396.0,0.0,1916.8,479.2,479.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10726410,35875.0,35875.0,0.0,,35875.0,35875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10727531,2493.75,498.75,1995.0,1197.0,1047.38,249.38,798.0,0.0,0.0,0.0,1995.0,798.0,0.0
10727914,9812.22,,9812.22,7849.74,1962.48,,1962.48,0.0,,0.0,9812.22,1962.48,0.0
10728231,27634.81,,27634.81,22107.83,5526.98,,5526.98,0.0,,0.0,27634.81,5526.98,0.0
10728248,4475.0,4475.0,0.0,3803.75,671.25,671.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10728365,1296.0,1296.0,0.0,1101.6,194.4,194.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10728799,44815.0,35320.0,9495.0,23654.5,21160.5,17395.5,3765.0,0.0,0.0,0.0,9495.0,3765.0,0.0
10729603,2224.0,2224.0,0.0,1890.4,333.6,333.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10729735,1619.0,324.0,1295.0,777.0,680.0,162.0,518.0,0.0,0.0,0.0,1295.0,518.0,0.0
10729754,757.8,757.8,0.0,530.46,227.34,227.34,0.0,227.34,227.34,0.0,0.0,0.0,0.0
10730356,33826.21,,33826.21,19703.6,14122.61,,14122.61,0.0,,0.0,33826.21,14122.61,0.0
10730939,3000.0,3000.0,0.0,,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10730954,3000.0,3000.0,0.0,,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10713200,494.4,494.4,0.0,296.64,197.76,197.76,0.0,4.44,4.44,0.0,0.0,0.0,0.0
10713264,639.63,,639.63,384.16,255.47,,255.47,0.0,,0.0,639.63,255.47,0.0
10713935,2659.0,2659.0,0.0,2250.95,408.05,408.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10714050,5064.45,5064.45,0.0,3038.67,2025.78,2025.78,0.0,709.01,709.01,0.0,0.0,0.0,0.0
10714053,4625.0,,4625.0,2312.5,2312.5,,2312.5,0.0,,0.0,4625.0,2312.5,0.0
10715657,249.0,249.0,0.0,199.2,49.8,49.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10715672,2000.0,2000.0,0.0,,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10716089,9645.0,9645.0,0.0,,9645.0,9645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10716307,3525.0,3525.0,0.0,1692.0,1480.5,1480.5,0.0,25.27,25.27,0.0,0.0,0.0,0.0
10716726,3238.0,648.0,2590.0,1554.0,1360.0,324.0,1036.0,0.0,0.0,0.0,2590.0,1036.0,0.0
10717076,6000.0,6000.0,0.0,,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
