Sales_Order,new_revenue,legacy_revenue,revenue_diff,new_amount2,new_gp,legacy_gp,gp_diff,new_term_gp,legacy_term_gp,term_gp_diff,abs_revenue_diff,abs_gp_diff,abs_term_gp_diff
1347389,7093.98,7093.98,0.0,4235.5,2568.48,2568.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1347401,2000.0,,2000.0,1235.0,765.0,,765.0,0.0,,0.0,2000.0,765.0,0.0
1347403,36603.16,5352.0,31251.16,20128.85,13798.31,2676.0,11122.31,0.0,0.0,0.0,31251.16,11122.31,0.0
1347406,2833.0,1214.0,1619.0,1352.86,1277.64,623.0,654.64,0.0,0.0,0.0,1619.0,654.64,0.0
1347442,7174.25,7174.25,0.0,4367.15,2579.6,2579.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1347445,11839.0,2369.0,9470.0,5682.0,4972.5,1184.5,3788.0,0.0,0.0,0.0,9470.0,3788.0,0.0
1347457,846.0,846.0,0.0,507.6,338.4,338.4,0.0,118.44,118.44,0.0,0.0,0.0,0.0
1347477,4349.1,4142.0,207.1,3551.53,797.57,759.6,37.97,0.0,0.0,0.0,207.1,37.97,0.0
1347481,47336.0,8520.3,38815.7,23289.36,19786.49,4260.15,15526.34,0.0,0.0,0.0,38815.7,15526.34,0.0
1347483,1869.0,374.0,1495.0,897.0,785.0,187.0,598.0,0.0,0.0,0.0,1495.0,598.0,0.0
1345968,12381.0,6731.0,5650.0,7764.98,4616.02,2356.02,2260.0,0.0,0.0,0.0,5650.0,2260.0,0.0
1345969,5041.47,5041.47,0.0,,5041.47,5041.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1345973,7093.98,7093.98,0.0,4235.5,2568.48,2568.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1345981,15672.01,3135.0,12537.01,7522.0,6582.51,1567.5,5015.01,0.0,0.0,0.0,12537.01,5015.01,0.0
1345986,9995.5,9995.5,0.0,5742.62,3672.88,3672.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346004,600.0,600.0,0.0,535.5,64.5,90.0,-25.5,0.0,0.0,0.0,0.0,25.5,0.0
1346005,9717.0,9717.0,0.0,11773.18,-2056.18,-2056.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346009,10370.26,1920.6,8449.66,5073.75,4336.21,960.3,3375.91,0.0,0.0,0.0,8449.66,3375.91,0.0
1346013,3525.0,3525.0,0.0,1692.0,1480.5,1480.5,0.0,394.8,394.8,0.0,0.0,0.0,0.0
1346023,1058.0,1058.0,0.0,507.6,444.4,444.4,0.0,118.44,118.44,0.0,0.0,0.0,0.0
1346043,1869.0,374.0,1495.0,897.0,785.0,187.0,598.0,0.0,0.0,0.0,1495.0,598.0,0.0
1346053,1600.0,1600.0,0.0,,1600.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346076,4995.0,4995.0,0.0,,4995.0,4995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346102,28889.77,13100.0,15789.77,21805.46,7084.31,3926.32,3157.99,3926.32,3926.32,0.0,15789.77,3157.99,0.0
1346105,6000.0,6000.0,0.0,,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346109,34060.0,34060.0,0.0,,34060.0,34060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346121,6516.5,6516.5,0.0,4235.5,2281.0,2281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346127,3731.7,3554.0,177.7,3158.19,573.51,546.2,27.31,0.0,0.0,0.0,177.7,27.31,0.0
1346128,0.0,0.0,0.0,2735.68,-2735.68,-2735.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346136,14352.18,2475.0,11877.18,6918.76,6195.92,1237.5,4958.42,0.0,0.0,0.0,11877.18,4958.42,0.0
1346171,75084.0,75084.0,0.0,45050.4,30033.6,30033.6,0.0,6006.72,6006.72,0.0,0.0,0.0,0.0
1346180,299.0,299.0,0.0,193.37,105.63,105.63,0.0,105.63,105.63,0.0,0.0,0.0,0.0
1346183,897.0,897.0,0.0,,448.5,448.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346191,794.0,794.0,0.0,627.26,166.74,166.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346197,6000.0,6000.0,0.0,,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346198,12071.68,1496.0,10575.68,6367.24,4956.44,748.0,4208.44,0.0,0.0,0.0,10575.68,4208.44,0.0
1346212,9714.0,1944.0,7770.0,4662.0,4080.0,972.0,3108.0,0.0,0.0,0.0,7770.0,3108.0,0.0
